icd,icd_desc
41401,Coronary atherosclerosis of native coronary artery
4019,Unspecified essential hypertension
42731,Atrial fibrillation
4280,"Congestive heart failure, unspecified"
2724,Other and unspecified hyperlipidemia
2720,Pure hypercholesterolemia
25000,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
4241,Aortic valve disorders
9971,"Cardiac complications, not elsewhere classified"
4240,Mitral valve disorders
53081,Esophageal reflux
2859,"Anemia, unspecified"
04111,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site
5990,"Urinary tract infection, site not specified"
5849,"Acute kidney failure, unspecified"
41071,"Subendocardial infarction, initial episode of care"
E8782,"Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
412,Pneumococcus infection in conditions classified elsewhere and of unspecified site
496,"Chronic airway obstruction, not elsewhere classified"
2449,Unspecified acquired hypothyroidism
45829,Other iatrogenic hypotension
5185,Pulmonary insufficiency following trauma and surgery
5119,Unspecified pleural effusion
2851,Acute posthemorrhagic anemia
V4582,Percutaneous transluminal coronary angioplasty status
99811,Hemorrhage complicating a procedure
V5861,Long-term (current) use of anticoagulants
V1582,Personal history of tobacco use
3051,Tobacco use disorder
4139,Other and unspecified angina pectoris
51881,Acute respiratory failure
2875,"Thrombocytopenia, unspecified"
2762,Acidosis
40390,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified"
5859,"Chronic kidney disease, unspecified"
4168,Other chronic pulmonary heart diseases
V4581,Aortocoronary bypass status
5845,Acute kidney failure with lesion of tubular necrosis
27800,"Obesity, unspecified"
5180,Pulmonary collapse
4271,Paroxysmal ventricular tachycardia
4412,Thoracic aneurysm without mention of rupture
2749,"Gout, unspecified"
4439,"Peripheral vascular disease, unspecified"
486,"Pneumonia, organism unspecified"
99859,Other postoperative infection
42789,Other specified cardiac dysrhythmias
40391,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease"
V5867,Long-term (current) use of insulin
4254,Other primary cardiomyopathies
49390,"Asthma, unspecified type, unspecified"
4275,Cardiac arrest
311,Cutaneous diseases due to other mycobacteria
2761,Hyposmolality and/or hyponatremia
32723,Obstructive sleep apnea (adult)(pediatric)
5121,Iatrogenic pneumothorax
60000,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS)
3572,Polyneuropathy in diabetes
43310,Occlusion and stenosis of carotid artery without mention of cerebral infarction
V173,Family history of ischemic heart disease
42732,Atrial flutter
78551,Cardiogenic shock
99702,Iatrogenic cerebrovascular infarction or hemorrhage
V1046,Personal history of malignant neoplasm of prostate
73300,"Osteoporosis, unspecified"
99812,Hematoma complicating a procedure
